title,author,publisher,publication_year,call_number,ISBN
한중록,혜경궁 홍씨 지음;정병설 옮김,문학동네,2011,813.5 홍887ㅎ,9788954608916
국경 전쟁,클라우스 도즈 지음;함규진 옮김,미래의창,2022,392.98 도64ㄱ,9791191464733
셰익스피어처럼 걸었다,최여정 지음,바다,2018,842.09 최94ㅅ,9788955611397
(청소년을 위한 #해시태그)한국 민주주의사,조한성 지음;최경식 일러스트,생각학교,2024,340.911 조72ㅎ,9791193811146
(청소년을 위한 #해시태그)한국독립운동사,조한성 지음;[최경식 일러스트],생각학교,2023,911.06 조72ㅎ,9791191360639
(꼬리에 꼬리를 무는)한국 현대사,조성일 지음,주니어태학(태학사),2024,911.07 조53ㅎ,9791168102996
(꼬리에 꼬리를 무는)한국 근대사,조성일 지음,주니어태학(태학사),2024,911.05 조53ㅎ,9791168102989
목민심서 한번 읽어 보지 않겠는가,임승수 지음,우리학교,2024,329 임56ㅁ,9791167554086
"조선, 시험지옥에 빠지다",이한 지음,위즈덤하우스,2024,911.05 이72ㅈ,9791171712410
지구 박물관 여행,에바 벵사르 글;뱅자맹 쇼 그림;이세진 옮김,아이스크림미디어,2025,D 069 벵52ㅈ,9791159290299
"국제 분쟁으로 보다, 세계사",송영심 지음,풀빛,2024,909 송94ㄱ,9791161729305
"소울트립 교과서 여행. 1: 국어, 문학 편",소울마미;이해수 [공]씀,얼스마미,2022,981.102 소96ㅅ v.1,9791198079312
세계사를 움직이는 다섯 가지 힘,사이토 다카시 지음;홍성민 옮김,뜨인돌(뜨인돌출판),2024,909 사97ㅅ,9788958070177
모성의 공동체,박현정 지음;윤석남 그림,연립서가,2025,911.07 박74ㅁ,9791193598061
(맛집에서 만난)세계지리 수업,남원상 지음;봉현 rmfla,서해문집,2024,980 남98ㅅ,9791192988856
안용복 재판정 참관기,김흥식 엮음;위수연 그림,서해문집,2024,911.05 김76ㅇ,9791192988948
지도 위의 세계사,김종근 지음,EBS Books(한국교육방송공사),2022,909 김63ㅈ,9788954799980
고등학생운동사,김소연 외 지음,동녘,2025,377.256 김55ㄱ,9788972971566
